 Cod. Tipo Entidad ; Tipo Entidad ; Cód. Entidad ; Entidad ; Cód. País ; País ; Cod CCAA ; CCAA ; Cod. Provincia ; Provincia ; Cód. Municipio ; Municipio/Población ; Domicilio ; CP ; Tipo 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 022 ; BERGA ; PS PO. DE LA PAU, 16 0016 ; 08600 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 035 ; CALELLA ; CL SANT PERE, 52 0052 ; 08370 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 046 ; CARDEDEU ; CL DR. KLEIN 162 ; 08440 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 051 ; CASTELLAR DEL VALLÈS ; CL SALA BOADELLA, 15 0015 ; 08211 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 054 ; CASTELLBISBAL ; CL PAU CASALS, 8 0008 ; 08755 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 056 ; CASTELLDEFELS ; CL POMPEU FABRA, 4 0004 ; 08860 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 073 ; CORNELLÀ DE LLOBREGAT ; CR CTRA. DE L'HOSPITALET, 370 0370 ; 08940 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 073 ; CORNELLÀ DE LLOBREGAT ; CR CTRA. DE ESPLUGUES, 70 0070 ; 08940 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 073 ; CORNELLÀ DE LLOBREGAT ; CL MENENDEZ Y PELAYO 0029 ; 08940 ; Operativas ; 
BP ; BANCOS ; 0049 ; BANCO SANTANDER, S.A. (0049) ; ES ; ESPAÑA ; 09 ; CATALUÑA           ; 08 ; Barcelona ; 076 ; ESPARREGUERA ; AV FRANCESC DE MARIMON, 22 S/N ; 08292 ; Operativas ; 
